HERO,HERCULES OFFSHORE INC,0
HTGC,HERCULES TECHNOLOGY GR,0.0625
HTBK,HERITAGE COMMERCE CORP,0.0
HCCI,HERITAGE CRYL CLEAN INC,-1.5806
HFWA,HERITAGE FINANCIAL CORP,0.4348
MLHR,HERMAN MILLER INC,-0.2823
HT,HERSHA HOSPITALITY TRUS,-0.2743
HIBB,HIBBETT SPORTS INC,-0.5085
ONE,HIGHER ONE HLDGS INC,nan
HIW,HIGHWOODS PROPERTIES IN,0.0833
HI,HILLENBRAND INC,0.2632
HTH,HILLTOP HOLDINGS INC,-0.2308
HIFS,HINGHAM INSTN SVGS MASS,nan
HMSY,HMS HOLDINGS CORP,0.5789
HNI,HNI CORPORATION,2.55
HBCP,HOME BANCORP INC,0.3465
HOMB,HOME BANCSHARES INC,0.1905
HMST,HOMESTREET INC,0.087
HTBI,HOMETRUST BANCSHARES IN,0.6286
HOFT,HOOKER FURNITURE CORP,0.75
HMN,HORACE MANN EDUCATORS,0.378
HBNC,HORIZON BANCORP IND,0.2391
HZNP,HORIZON PHARMA INC,3.35
HRZN,HORIZON TECH FIN CORP,-0.15
HWCC,HOUSTON WIRE & CABLE,-2.0909
HOV,HOVNANIAN ENTERPRISES,-0.7638
HUBG,HUB GROUP INC,0.8974
HPP,HUDSON PAC PPTYS INC,-3.0
HURC,HURCO COMPANIES INC,nan
HURN,HURON CONSULTING GROUP,-0.1324
HY,HYSTER-YALE MATERIALS,-0.3077
ICFI,ICF INTERNATIONAL INC,0.236
ICON,ICONIX BRAND GROUP INC,-0.9247
ICUI,ICU MEDICAL INC,0.1515
IDA,IDACORP INC,0.6975
IDT,IDT CORP,nan
IIVI,II VI INC,-0.2881
IMMR,IMMERSION CORP,4.0
IMGN,IMMUNOGEN INC,-0.0714
IHC,INDEPENDENCE HOLDING CO,nan
INDB,INDEPENDENT BANK MA,0.1038
IBTX,INDEPENDENT BK GROUP IN,-0.0288
INFN,INFINERA CORP,-1.2222
INFI,INFINITY PHARMACEUTICAL,-0.0
IMKTA,INGLES MARKETS INC,nan
IOSP,INNOSPEC INC,-4.9444
ISSC,INNOVATIVE SOLUTIONS,1.3333
NSIT,INSIGHT ENTERPRISES INC,-0.2114
INSM,INSMED INC,-0.0156
NSP,INSPERITY INC,-0.4091
IIIN,INSTEEL INDUSTRIES INC,0.0976
PODD,INSULET CORP,-0.2273
IART,INTEGRA LIFESCIENCES,1.4242
IPAR,INTER PARFUMS INC,-6.2
ICPT,INTERCEPT PHARMA INC,0.0469
IDCC,INTERDIGITAL INC,0.0556
TILE,INTERFACE INC,0.037
IBOC,INTERNATIONAL BANCSHARE,nan
IPI,INTREPID POTASH INC,0.1143
IVC,INVACARE CORP,-0.5238
IVR,INVESCO MORTGAGE CAP,-1.0833
ISBC,INVESTORS BANCORP INC,0.037
ITIC,INVESTORS TITLE CO,nan
IO,ION GEOPHYSICAL CORP,2.1351
IRDM,IRIDIUM COMMUNICATIONS,-0.6667
IRBT,IROBOT CORP,1.434
IRWD,IRONWOOD PHARMACEUTICAL,0.4375
ITRI,ITRON INC,19.3333
ESI,ITT EDUCATIONAL SVCS IN,0.2222
JJSF,J & J SNACK FOODS CO,-0.775
JCOM,J2 GLOBAL INC,0.1813
JACK,JACK IN THE BOX INC,0.1752
JAKK,JAKKS PACIFIC INC,-2.0868
JBLU,JETBLUE AIRWAYS CORP,-0.1257
JMP,JMP GROUP INC,-0.2308
JBT,JOHN BEAN TECH CORP,-0.2385
JOUT,JOHNSON OUTDOORS INC,0.2047
LRN,K12 INC,1.0
KAI,KADANT INC,0.2358
KALU,KAISER ALUMINUM CORP,-0.0833
KAMN,KAMAN CORP,0.9444
KBH,KB HOME,0.3494
KRNY,KEARNY FINANCIAL CORP,0.5385
KELYA,KELLY SERVICES INC,-0.4314
KW,KENNEDY-WILSON HLDGS IN,-0.4
KFRC,KFORCE INC,0.8936
KIRK,KIRKLANDS INC,-2.4138
KRG,KITE REALTY GROUP TRUST,-0.1667
KNX,KNIGHT TRANSPORTATION,0.1899
KNL,KNOLL INC,0.2105
KOPN,KOPIN CORP,-0.0
KOP,KOPPERS HOLDINGS INC,0.2913
KFY,KORN FERRY INTERNATIONA,-3.8421
KRA,KRATON PERF POLYMERS,0.6333
KTOS,KRATOS DEFENSE & SEC SO,0.75
KVHI,KVH INDUSTRIES INC,-1.6667
LZB,LA Z BOY INC,3.5556
LBAI,LAKELAND BANCORP INC,0.3214
LKFN,LAKELAND FINANCIAL CORP,0.0899
LANC,LANCASTER COLONY CORP,0.2759
LNDC,LANDEC CORP,-1.1818
LCI,LANNETT CO INC,0.3333
LSCC,LATTICE SEMICONDUCTOR,0.1176
LCNB,LCNB CORP,0.3333
LXRX,LEXICON PHARMACEUTICALS,-2.0923
LXP,LEXINGTON REALTY TRUST,1.5
LHCG,LHC GROUP INC,0.3252
LCUT,LIFETIME BRANDS INC,-5.3333
LFVN,LIFEVANTAGE CORP,0.0
LWAY,LIFEWAY FOODS INC,-1.0
LGND,LIGAND PHARMACEUTICALS,0.5577
LLNW,LIMELIGHT NETWORKS INC,-1.3333
LMNR,LIMONEIRA CO,-5.2
